timestamp,equipment_id,temperature,vibration,pressure,rpm,failure
2024-01-01 00:00:00,EQ-001,67.02,5.78,110.22,3058.1,0
2024-01-01 01:00:00,EQ-001,66.55,6.17,100.0,2996.45,0
2024-01-01 02:00:00,EQ-001,67.97,4.94,93.7,2991.62,0
2024-01-01 03:00:00,EQ-001,65.47,6.06,97.78,2949.12,0
2024-01-01 04:00:00,EQ-001,70.42,5.79,102.66,2948.49,0
2024-01-01 05:00:00,EQ-001,66.4,5.96,96.56,3038.52,0
2024-01-01 06:00:00,EQ-001,66.29,5.76,99.31,3112.35,0
2024-01-01 07:00:00,EQ-001,67.46,5.37,106.43,2958.69,0
2024-01-01 08:00:00,EQ-001,67.91,4.92,95.68,3029.57,0
2024-01-01 09:00:00,EQ-001,68.97,5.99,101.74,3004.68,0
2024-01-01 10:00:00,EQ-001,64.53,5.54,100.02,3072.59,0
2024-01-01 11:00:00,EQ-001,68.18,5.02,103.94,3000.48,0
2024-01-01 12:00:00,EQ-001,66.14,6.21,107.47,3066.3,0
2024-01-01 13:00:00,EQ-001,65.81,5.75,103.98,3068.51,0
2024-01-01 14:00:00,EQ-001,66.53,5.81,96.79,2959.92,0
2024-01-01 15:00:00,EQ-001,69.12,6.58,101.96,3069.91,0
2024-01-01 16:00:00,EQ-001,68.21,5.58,104.13,3096.63,0
2024-01-01 17:00:00,EQ-001,67.42,6.68,89.22,3060.83,0
2024-01-01 18:00:00,EQ-001,67.66,5.75,102.78,2920.35,0
2024-01-01 19:00:00,EQ-001,67.05,6.08,109.71,2993.82,0
2024-01-01 20:00:00,EQ-001,65.87,5.65,106.9,3036.17,0
2024-01-01 21:00:00,EQ-001,66.43,6.16,102.81,3068.16,0
2024-01-01 22:00:00,EQ-001,66.09,5.74,100.36,2946.56,0
2024-01-01 23:00:00,EQ-001,68.08,6.03,102.35,3008.0,0
2024-01-02 00:00:00,EQ-001,64.66,5.69,100.61,2979.62,0
2024-01-02 01:00:00,EQ-001,67.17,6.1,111.75,3028.46,0
2024-01-02 02:00:00,EQ-001,68.01,5.86,92.73,3018.41,0
2024-01-02 03:00:00,EQ-001,67.61,7.13,101.36,3034.81,0
2024-01-02 04:00:00,EQ-001,67.42,5.32,108.03,3057.33,0
2024-01-02 05:00:00,EQ-001,69.07,5.45,109.33,2949.64,0
2024-01-02 06:00:00,EQ-001,68.66,7.0,97.37,2991.42,0
2024-01-02 07:00:00,EQ-001,67.69,5.65,94.57,3023.16,0
2024-01-02 08:00:00,EQ-001,65.37,6.14,97.72,3097.23,0
2024-01-02 09:00:00,EQ-001,65.92,5.74,106.39,2958.19,0
2024-01-02 10:00:00,EQ-001,67.95,6.55,94.28,3028.96,0
2024-01-02 11:00:00,EQ-001,68.01,6.29,96.14,2953.71,0
2024-01-02 12:00:00,EQ-001,68.53,6.05,103.57,3037.05,0
2024-01-02 13:00:00,EQ-001,66.13,6.02,103.79,2984.01,0
2024-01-02 14:00:00,EQ-001,71.22,6.14,96.36,3052.56,0
2024-01-02 15:00:00,EQ-001,65.54,6.29,108.11,2978.7,0
2024-01-02 16:00:00,EQ-001,69.42,6.11,106.43,3114.57,0
2024-01-02 17:00:00,EQ-001,67.0,5.52,97.87,2978.94,0
2024-01-02 18:00:00,EQ-001,67.34,6.07,103.7,3061.09,0
2024-01-02 19:00:00,EQ-001,67.52,6.63,101.0,3155.74,0
2024-01-02 20:00:00,EQ-001,68.74,5.47,96.97,3043.86,0
2024-01-02 21:00:00,EQ-001,67.04,6.26,104.69,3016.09,0
2024-01-02 22:00:00,EQ-001,65.8,5.14,100.09,3062.55,0
2024-01-02 23:00:00,EQ-001,67.92,5.28,103.19,3039.0,0
2024-01-03 00:00:00,EQ-001,65.72,5.98,102.61,2962.58,0
2024-01-03 01:00:00,EQ-001,68.21,6.18,107.74,3072.42,0
2024-01-03 02:00:00,EQ-001,64.74,5.43,104.9,3045.42,0
2024-01-03 03:00:00,EQ-001,68.52,7.83,105.17,3076.51,0
2024-01-03 04:00:00,EQ-001,69.4,6.23,100.74,3057.68,0
2024-01-03 05:00:00,EQ-001,65.95,5.78,99.89,3023.83,0
2024-01-03 06:00:00,EQ-001,72.12,4.97,105.75,2939.1,0
2024-01-03 07:00:00,EQ-001,66.55,6.45,102.64,2965.84,0
2024-01-03 08:00:00,EQ-001,66.06,6.24,98.67,3030.55,0
